date,mkt_return
2008-03-01,-0.04977743362995457
2008-04-01,0.014218810835427531
2008-05-01,0.016998253696040466
2008-06-01,-0.04729404366832857
2008-07-01,0.04933149944390247
2008-08-01,0.01731043857360204
2008-09-01,-0.06328113755326381
2008-10-01,-0.11804687149621784
2008-11-01,-0.07183299007932309
2008-12-01,0.06615903232953735
2009-01-01,-0.012927830233854354
2009-02-01,-0.1284175395384043
2009-03-01,0.063300672260314
2009-04-01,-0.00886803875723674
2009-05-01,0.05685670793297115
2009-06-01,0.03362790357277379
2009-07-01,0.05762758179497318
2009-08-01,0.020579475268246883
2009-09-01,0.009009042255654798
2009-10-01,-0.023070505697906696
2009-11-01,0.0900754319361412
2009-12-01,0.01910364540089793
2010-01-01,0.004223948909890973
2010-02-01,0.00010998912693294116
2010-03-01,0.024437131097737597
