,crsp_fundno,crsp_portno,date,mth_return,exp_ratio,turn_ratio,normalised_flow,gdp_to_debt_ratio,gdp_growth_rate,unm_rate,infl_rate,mktrf,smb,hml,rmw,cma,rf,umd,excess_return,rolling_sharpe,mkt_return,rolling_alpha_3f,rolling_alpha_4f,rolling_alpha_5f,shortrun_momentum
52943,8552.0,1022119.0,2023-06-30,0.0520646319569118,0.006999999999999999,0.36,0.10034411717495988,117.77,1.9355,3.6,6.45,0.0647,0.0136,-0.002,0.0227,-0.0162,0.004,-0.0235,0.0520246319569118,1.1751559024611447,0.06490208265336128,0.0010981689413342103,0.0009965999428978335,-0.003929816340260447,0.0019097594566431415
53241,8552.0,1022119.0,2023-07-31,0.054891922639363155,0.006999999999999999,0.36,-0.24047249266055049,118.592,1.9355,3.5,6.45,0.0321,0.0284,0.0411,-0.0057,0.0062,0.0045,-0.0405,0.05484692263936315,1.0069567365143732,0.03806456597869046,0.006971556258659427,0.006973739250128143,0.008914747464452387,0.009921070827074866
53450,8552.0,1022119.0,2023-08-31,-0.007009975734699525,0.006999999999999999,0.36,-0.024389967615658373,118.592,1.9355,3.7,6.45,-0.0239,-0.0368,-0.0108,0.0342,-0.0237,0.0045,0.0377,-0.007054975734699525,1.25188532222468,-0.01624228517484294,0.009855535679870575,0.010027566091623353,0.011568981798136367,0.004407405134788878
53788,8552.0,1022119.0,2023-09-29,-0.05376052131414599,0.006999999999999999,0.36,-0.06647644218455744,118.592,1.9355,3.8,6.45,-0.0524,-0.0179,0.0145,0.0185,-0.0084,0.0043,0.0024,-0.053803521314145994,1.7554679571794254,-0.050695214090559326,0.014229868202975006,0.01421685179585426,0.019745224359942713,0.007664786292409816
53979,8552.0,1022119.0,2023-10-31,-0.028694404591104727,0.006999999999999999,0.36,-0.08244623339587241,120.16,1.9355,3.9,6.45,-0.0318,-0.0405,0.0019,0.0247,-0.0067,0.0047,0.0168,-0.028741404591104726,1.4320183848032642,-0.020758068238936445,0.014318990223790974,0.014751727015840776,0.0185836357445539,-0.0005897780452038445
438,8648.0,1024369.0,1998-08-31,-0.12328767123287668,0.004,0.12,0.0029798373621477106,60.587,4.4471,4.5,1.7,-0.1608,-0.0517,0.0353,0.0337,0.0591,0.0043,0.0184,-0.12333067123287668,-2.1607111798628984,-0.17202274244906768,-0.12333067123287668,-0.12333067123287668,-0.12333067123287668,0.048735071216191
470,8648.0,1024369.0,1998-09-30,-0.02734374999999989,0.004,0.12,0.00017191977077363896,60.587,4.4471,4.6,1.7,0.0615,-0.0078,-0.0342,-0.0188,-0.0299,0.0046,-0.0081,-0.02738974999999989,-2.4339196060734456,0.1798937341469642,-0.02738974999999989,-0.02738974999999989,-0.02738974999999989,-0.07925120646538654
476,8648.0,1024369.0,1998-10-30,0.10240963855421681,0.004,0.12,-0.0034375,60.407,4.4471,4.5,1.7,0.0713,-0.0343,-0.0223,0.0093,0.0031,0.0032,-0.0537,0.1023776385542168,-0.37720271324095467,0.04090736381177873,0.1023776385542168,0.1023776385542168,0.1023776385542168,-0.03233337939611167
499,8648.0,1024369.0,1998-11-30,0.051912568306010876,0.004,0.12,0.0038271604938271606,60.407,4.4471,4.4,1.7,0.061,0.0075,-0.0325,-0.0086,-0.0118,0.0031,0.012,0.05188156830601087,0.09138923311889599,0.11241534516510843,0.05188156830601087,0.05188156830601087,0.05188156830601087,-0.06874599542120785
513,8648.0,1024369.0,1998-12-31,0.0352084159360726,0.004,0.12,0.04193396226415094,60.407,4.4471,4.4,1.61,0.0616,-0.0156,-0.0419,-0.0076,-0.0339,0.0038,0.0892,0.0351704159360726,0.3456947211932155,0.17847059988679614,0.0351704159360726,0.0351704159360726,0.0351704159360726,-0.047420895355794336
539,8648.0,1024369.0,1999-01-29,-0.0025884383088868868,0.004,0.04,0.036359918200409,60.049,4.4831,4.3,1.61,0.035,-0.0075,-0.046,-0.0277,-0.068,0.0035,0.0303,-0.0026234383088868866,0.3057848460456401,0.15859386936446795,-0.0026234383088868866,-0.0026234383088868866,-0.0026234383088868866,-0.12164908949439197
576,8648.0,1024369.0,1999-02-26,-0.02595155709342567,0.004,0.04,0.03262385321100918,60.049,4.4831,4.4,1.61,-0.0408,-0.0522,0.0192,-0.0123,0.041,0.0035,-0.001,-0.02598655709342567,0.1158453102302131,-0.09491860984256806,-0.02598655709342567,-0.02598655709342567,-0.02598655709342567,-0.07849247962497867
588,8648.0,1024369.0,1999-03-31,0.04262877442273538,0.004,0.04,0.030814558058925478,60.049,4.4831,4.2,1.61,0.0345,-0.0423,-0.0274,-0.0407,-0.0142,0.0043,-0.0127,0.04258577442273538,0.3646918415619412,0.09406936161249879,0.04258577442273538,0.04258577442273538,0.04258577442273538,-0.04788528070465862
632,8648.0,1024369.0,1999-04-30,0.041737649063032345,0.004,0.04,0.02877022653721683,59.192,4.4831,4.3,1.61,0.0433,0.0452,0.0246,-0.0253,0.0089,0.0037,-0.0904,0.04170064906303234,0.5787236506621956,0.014242377494169123,0.04170064906303234,0.04170064906303234,0.04170064906303234,0.015007245709414066
654,8648.0,1024369.0,1999-05-28,-0.052330335241210224,0.004,0.04,0.030393162393162393,59.192,4.4831,4.2,1.61,-0.0246,0.0371,0.0235,0.0093,0.0334,0.0034,-0.0519,-0.05236433524121022,0.25691867211631086,-0.021854597594030967,-0.05236433524121022,-0.05236433524121022,-0.05236433524121022,-0.018140351089359814
700,8648.0,1024369.0,1999-06-30,0.04141501294219152,0.004,0.04,0.028585209003215435,59.192,4.4831,4.3,1.61,0.0477,0.0229,-0.0319,0.0113,-0.0321,0.004,0.0506,0.04137501294219152,0.4450510954269687,0.0990908136085531,0.04137501294219152,0.04137501294219152,0.04137501294219152,-0.020218755581559205
727,8648.0,1024369.0,1999-07-30,0.028169014084507005,0.004,0.04,0.023120936280884265,58.393,4.4831,4.3,1.61,-0.0349,0.0257,-0.0044,0.0036,0.0322,0.0038,0.0166,0.028131014084507005,0.5419925524738987,-0.011250620510928955,0.0012934835165236925,0.0012880982813932998,-0.012640809698968927,-0.016243967906034957
772,8648.0,1024369.0,1999-08-31,0.008058017727639033,0.004,0.04,0.022336683417085428,58.393,4.4831,4.2,1.61,-0.0138,-0.0173,-0.0187,-0.0024,0.0064,0.0039,0.0312,0.008019017727639032,1.653048267617089,0.05545753913062823,0.006162868904532446,0.005915202948001995,-0.01253744033355179,-0.021885229157971604
831,8648.0,1024369.0,1999-09-30,0.007993605115907298,0.004,0.04,0.02184275184275184,58.393,4.4831,4.2,1.61,-0.0279,0.0259,-0.0349,-0.0075,-0.0123,0.0039,0.0647,0.007954605115907298,2.0097880908409813,0.0046017450328899034,0.010020835654246765,0.006572427313137709,-0.014774342686941763,-0.0015293422415119478
861,8648.0,1024369.0,1999-10-29,0.03965107057890571,0.004,0.04,0.021217183770883056,58.343,4.4831,4.1,1.61,0.0612,-0.0691,-0.0337,-0.0174,-0.0119,0.0039,0.055,0.039612070578905714,1.9459933430278973,0.09532789915356332,0.00616591526277407,0.00632985144384946,-0.019132322810649104,-0.0332281632982098
932,8648.0,1024369.0,1999-11-30,0.041189931350114506,0.004,0.04,0.017129094412331406,58.343,4.4831,4.1,1.61,0.0337,0.058,-0.0612,-0.0428,-0.0174,0.0036,0.0564,0.041153931350114505,1.9025438439051403,0.12484455640559045,0.005753906095208659,0.005999318799491559,-0.0032610787820630815,-0.04531319784903872
959,8648.0,1024369.0,1999-12-31,0.08640759671672682,0.004,0.04,0.014804329725228976,58.343,4.4831,4.0,2.68,0.0772,0.0539,-0.0833,-0.076,-0.0563,0.0044,0.1322,0.08636359671672682,2.009289043322985,0.24981212418665333,0.005541307508854627,0.007843459080585617,-0.003243970975759996,-0.10091199370002002
992,8648.0,1024369.0,2000-01-31,-0.06584362139917699,0.004,0.52,0.015790408525754883,57.721,4.7884,4.0,2.68,-0.0474,0.0442,-0.0188,-0.0629,0.0472,0.0041,0.0192,-0.06588462139917699,1.2559593951137593,-0.03715920805263773,0.004072400424195478,0.005495260688015391,0.015501177571098992,-0.09191452195731391
1028,8648.0,1024369.0,2000-02-29,0.027900146842878115,0.004,0.52,0.012295988934993084,57.721,4.7884,4.1,2.68,0.0245,0.1828,-0.0959,-0.1865,-0.0048,0.0043,0.182,0.027857146842878114,1.6815022117248828,0.19520451619631496,0.004616264007238968,0.005817668649756323,0.012623383616886287,-0.11979777005663421
1102,8648.0,1024369.0,2000-03-31,0.03571428571428581,0.004,0.52,0.008292910447761193,57.721,4.7884,4.0,2.68,0.052,-0.1532,0.0813,0.1179,-0.0159,0.0047,-0.0683,0.03566728571428581,1.6452495388827348,0.030677699742970743,0.0048084122146137675,0.004653216342360272,0.008453590427752022,-0.06365073224288702
1146,8648.0,1024369.0,2000-04-28,-0.051724137931034475,0.004,0.52,0.008793273986152324,55.485,4.7884,3.8,2.68,-0.064,-0.0501,0.0726,0.0766,0.0565,0.0046,-0.0839,-0.05177013793103447,0.9148237226119282,-0.14203789458070237,0.003432512484306243,-0.0007036544052297566,0.00680258868313638,-0.023984675577484627
1177,8648.0,1024369.0,2000-05-31,-0.025454545454545396,0.004,0.52,0.008867830423940149,55.485,4.7884,4.0,2.68,-0.0442,-0.0381,0.0475,0.0413,0.0137,0.005,-0.0898,-0.025504545454545398,1.15446456193721,-0.11902423463816925,0.00872528968368317,0.007547413326624716,0.009801733581050086,0.06297334393486893
1266,8648.0,1024369.0,2000-06-30,0.03955223880597014,0.004,0.52,0.00849904397705545,55.485,4.7884,4.0,2.68,0.0464,0.0992,-0.0842,-0.0831,-0.0295,0.004,0.166,0.03951223880597014,1.1447404887113186,0.13228019500225918,0.00836563134695497,0.008151745446861858,0.010829675981279726,0.030385163212334237
1301,8648.0,1024369.0,2000-07-31,-0.043790380473797574,0.004,0.52,0.007408333333333334,54.992,4.7884,4.0,2.68,-0.0251,-0.0103,0.0831,0.0583,0.0294,0.0048,-0.0005,-0.043838380473797574,0.6227533975867072,-0.041033091592090676,0.0018753622817678393,0.004165393665589854,0.005867816882134953,-0.0006385186314573632
1379,8648.0,1024369.0,2000-08-31,0.010510510510510551,0.004,0.52,0.007784588441330998,54.992,4.7884,4.1,2.68,0.0703,-0.0103,-0.0139,-0.0322,0.011,0.005,0.0573,0.010460510510510551,0.638030682427737,0.12972972351405554,-0.0017114191456515451,-0.00039450806284631887,0.005074602834339288,-0.07156815269384698
1410,8648.0,1024369.0,2000-09-29,-0.050520059435364195,0.004,0.52,0.009188630490956072,54.992,4.7884,3.9,2.68,-0.0545,0.0019,0.0717,0.0256,0.0553,0.0051,0.0197,-0.0505710594353642,0.25354719140781984,-0.12433323839351773,-0.004162705419352158,-0.0014340341471116352,0.006743241406551188,-0.01605444097569945
1477,8648.0,1024369.0,2000-10-31,-0.023474178403755763,0.004,0.52,0.011500646830530401,54.258,4.7884,3.9,2.68,-0.0276,-0.0265,0.0571,0.0961,0.038,0.0056,-0.0448,-0.023530178403755764,-0.12031907818341109,-0.08074532080511065,-0.0016700279476104599,-0.0005374785581038521,0.006264546021892336,0.00395503611865448
1511,8648.0,1024369.0,2000-11-30,-0.04006410256410253,0.004,0.52,0.01119647355163728,54.258,4.7884,3.9,2.68,-0.1072,-0.0058,0.123,0.1307,0.0843,0.0051,-0.0232,-0.040115102564102535,-0.618254430980428,-0.23634646382879998,-0.004089129475033013,-0.0068785886607880325,0.00519410772210779,0.10912222754140195
1553,8648.0,1024369.0,2000-12-29,0.03176590400356094,0.004,0.52,0.01031322505800464,54.258,4.7884,3.9,3.39,0.0119,0.0326,0.0761,0.0171,0.0479,0.005,0.0674,0.03171590400356094,-1.1451908401793083,-0.06576399551641665,-0.012648327503583277,-0.012932977761673988,-0.005096544675330326,0.11702780106200998
1626,8648.0,1024369.0,2001-01-31,-0.0016299918500407573,0.004,0.26,0.010337209302325581,55.144,4.0776,4.2,3.39,0.0313,0.0548,-0.0507,-0.0469,-0.0503,0.0054,-0.253,-0.0016839918500407573,-0.7428761307038174,0.10731522144942818,-0.009478955180550586,-0.007284176005152485,-0.010274184280418546,0.06162234916173537
1709,8648.0,1024369.0,2001-02-28,-0.0759183673469388,0.004,0.26,0.011091703056768558,55.144,4.0776,4.2,3.39,-0.1005,0.0283,0.1247,0.091,0.0907,0.0038,0.1257,-0.0759563673469388,-1.4578018820197065,-0.26404938438524395,-0.010125350917987021,-0.008969536086556252,-0.01279765574529255,0.0589052344196046
1760,8648.0,1024369.0,2001-03-30,-0.06537102473498235,0.004,0.26,0.011361022364217252,55.144,4.0776,4.3,3.39,-0.0726,0.0233,0.0642,0.0335,0.0392,0.0042,0.0855,-0.06541302473498235,-2.2916695784225682,-0.1755837363334397,-0.014245628304922802,-0.014562125964614113,-0.015788120881344757,0.06313283844576452
1816,8648.0,1024369.0,2001-04-30,0.07088846880907362,0.004,0.26,0.010206659012629161,54.032,4.0776,4.4,3.39,0.0794,-0.0086,-0.0467,-0.0306,-0.032,0.0039,-0.079,0.07084946880907363,-1.1107283450397096,0.17918323496841726,-0.007103066551981653,-0.00749391830488744,-0.009797831236297884,0.06334965415913962
1873,8648.0,1024369.0,2001-05-31,-0.036187113857016784,0.004,0.26,0.010361305361305362,54.032,4.0776,4.3,3.39,0.0072,0.036,0.0336,0.0025,0.0191,0.0032,0.0221,-0.03621911385701678,-1.170268592801684,-0.02978735360396445,-0.009857536643874922,-0.009565709803415999,-0.019106583015502852,-0.0014939382713128706
1911,8648.0,1024369.0,2001-06-29,-0.04120879120879117,0.004,0.26,0.011091703056768558,54.032,4.0776,4.5,3.39,-0.0194,0.0657,-0.0112,0.016,-0.0151,0.0028,0.0038,-0.041236791208791174,-1.799295313739115,0.016834321270308816,-0.01382685688911222,-0.020993233558108268,-0.019764517454345952,-0.057579212963831984
2011,8648.0,1024369.0,2001-07-31,-0.017191977077364085,0.004,0.26,0.010085082246171299,54.798,4.0776,4.6,3.39,-0.0213,-0.0282,0.0521,0.0742,0.0306,0.003,0.0558,-0.017221977077364083,-1.639868574375433,-0.0800900238485962,-0.013448442424952665,-0.02121947068391483,-0.017922016274515992,-0.0005149419869734014
2033,8648.0,1024369.0,2001-08-31,-0.026239067055393583,0.004,0.26,0.010236039147956247,54.798,4.0776,4.9,3.39,-0.0646,0.0272,0.0231,0.0405,0.0656,0.0031,0.0553,-0.026270067055393583,-1.942250507209758,-0.12705438672901426,-0.0023564343111042996,-0.0034220261533188644,-0.009749897182609012,0.03522341798858427
2154,8648.0,1024369.0,2001-09-28,-0.10079840319361277,0.004,0.26,0.011310432569974554,54.798,4.0776,5.0,3.39,-0.0925,-0.0573,0.0145,0.0499,0.0322,0.0028,0.1148,-0.10082640319361277,-2.0331791310164333,-0.20502821396600035,-0.00944152936567464,-0.011257730214160707,-0.01626865941718824,0.08931439240574679
2195,8648.0,1024369.0,2001-10-31,0.025527192008879096,0.004,0.26,0.012745519713261648,55.752,4.0776,5.3,3.39,0.0246,0.0527,-0.0765,-0.0298,-0.0456,0.0022,-0.0847,0.025505192008879095,-1.6404222942707172,0.16810602377715766,-0.0044619115537209465,-0.00538904376738512,-0.015137118799220941,0.02082209955924323
2275,8648.0,1024369.0,2001-11-30,0.03463203463203457,0.004,0.26,0.012355802640722724,55.752,4.0776,5.5,3.39,0.0754,-0.003,0.0221,-0.0373,-0.0164,0.0017,-0.0869,0.034615034632034566,-1.1427040117855523,0.16945589367276903,-0.00950878511883545,-0.008131037095816846,-0.013523686129411586,-0.05772429334554182
2312,8648.0,1024369.0,2001-12-31,0.004329226633562833,0.004,0.26,0.01263681592039801,55.752,4.0776,5.7,1.55,0.016,0.0516,0.0084,0.0034,-0.0026,0.0015,0.0007,0.004314226633562832,-1.3446735206452636,-0.011904388596053361,-0.010356684621980876,-0.00960699989479373,-0.014287875928923948,-0.08705635852646561
2385,8648.0,1024369.0,2002-01-31,-0.05279831045406547,0.004,0.1,0.013439153439153438,55.697,0.9555,5.7,1.55,-0.0144,0.0126,0.0344,0.0469,0.0286,0.0014,0.0375,-0.05281231045406547,-1.6256544008200968,-0.017044484354054923,-0.011321128220478139,-0.009902537688618795,-0.014363471243013296,-0.0514480233037096
2441,8648.0,1024369.0,2002-02-28,0.00557413600891854,0.004,0.1,0.013278566094100075,55.697,0.9555,5.7,1.55,-0.0229,-0.0036,0.0216,0.0807,0.0511,0.0013,0.0682,0.00556113600891854,-1.2096808670588024,-0.12318008207422426,-0.007065828585629664,-0.007318268968023317,-0.013920607540138748,0.03641133573758282
2509,8648.0,1024369.0,2002-03-28,0.05654101995565397,0.004,0.1,0.012433566433566433,55.697,0.9555,5.7,1.55,0.0424,0.0425,0.0106,-0.0178,0.0059,0.0013,-0.0164,0.05652801995565397,-0.4535223776483289,0.06885573336758055,-0.005567467344372988,-0.007579374738581324,-0.0163574322332575,0.026895226190401893
2618,8648.0,1024369.0,2002-04-30,0.0010493179433368471,0.004,0.1,0.011332058636073932,56.271,0.9555,5.9,1.55,-0.052,0.0672,0.0388,0.0456,0.0537,0.0015,0.0763,0.001034317943336847,-0.9892892786788549,-0.12096564947712118,-0.012117670475109716,-0.012398642729466955,-0.017287435888391097,0.07948482403055808
2703,8648.0,1024369.0,2002-05-31,0.012578616352201255,0.004,0.1,0.011613324624428479,56.271,0.9555,5.8,1.55,-0.0138,-0.0301,0.0153,0.0236,0.0244,0.0014,0.0316,0.012564616352201255,-0.6636210873317131,-0.053818493394560796,-0.00482206322265788,-0.005443130294073558,-0.009178596027308706,0.0586991212517645
2771,8648.0,1024369.0,2002-06-28,-0.04037267080745344,0.004,0.1,0.012959183673469387,56.271,0.9555,5.8,1.55,-0.0721,0.0389,-0.0005,0.0393,0.0252,0.0013,0.0603,-0.040385670807453436,-0.6587841001572671,-0.12987233401163645,-0.0029607412081700045,-0.003387074505123458,-0.00770458225462042,0.0926372467904677
2842,8648.0,1024369.0,2002-07-31,-0.09924487594390508,0.004,0.1,0.013923257635082224,56.703,0.9555,5.8,1.55,-0.0818,-0.0643,-0.0385,0.0379,-0.0099,0.0015,0.0377,-0.09925987594390508,-1.0322334848833672,-0.08494312940757687,-0.005943187843051606,-0.005624326788668766,-0.00863642473878309,0.04719834213820562
2936,8648.0,1024369.0,2002-08-30,-0.0023952095808382756,0.004,0.1,0.014022082018927445,56.703,0.9555,5.7,1.55,0.005,-0.0131,0.0328,0.0136,-0.0146,0.0014,0.019,-0.0024092095808382757,-0.8952610009665477,-0.020496799920523,-0.005928864077203859,-0.005627512181370718,-0.0033024368035176064,0.031099835669179843
